연번,시도명,시군구명,설치위치(도로명주소),세부위치,설치장소유형,쓰레기통 형태,수거쓰레기 종류,관리기관,전화번호,데이터기준일자
1,대구광역시 ,달서구,달구벌대로 1467,버스정류장(용산역 1번출구),버스정류장,음료컵 모양,재활용품 수거용,청소과,053-667-2711,2025-04-01
2,대구광역시 ,달서구,상인서로 85,버스정류장(상인현대맨션 앞),버스정류장,음료컵 모양,재활용품 수거용,청소과,053-667-2711,2025-04-01
3,대구광역시 ,달서구,구마로 256,버스정류장(서부정류장역 1번출구),버스정류장,음료컵 모양,재활용품 수거용,청소과,053-667-2711,2025-04-01
4,대구광역시 ,달서구,달구벌대로 1790,버스정류장(현대해상 앞),버스정류장,음료컵 모양,재활용품 수거용,청소과,053-667-2711,2025-04-01
5,대구광역시 ,달서구,선원로 270,버스정류장(용산2동 행정복지센터 앞),버스정류장,음료컵 모양,재활용품 수거용,청소과,053-667-2711,2025-04-01
6,대구광역시 ,달서구,월배로 202,버스정류장(성모여성병원 앞),버스정류장,음료컵 모양,재활용품 수거용,청소과,053-667-2711,2025-04-01
7,대구광역시 ,달서구,달구벌대로 1541-1,버스정류장(죽전네거리2),버스정류장,음료컵 모양,재활용품 수거용,청소과,053-667-2711,2025-04-01
8,대구광역시 ,달서구,구마로 253-1,버스정류장(서부정류장 1),버스정류장,음료컵 모양,재활용품 수거용,청소과,053-667-2711,2025-04-01
9,대구광역시 ,달서구,월배로 328,버스정류장(월촌역 6번출구),버스정류장,음료컵 모양,재활용품 수거용,청소과,053-667-2711,2025-04-01
