연번,행정동,설치 위치,설치 장소 유형,쓰레기통 형태,수거 쓰레기 종류,통 제작연월,최초설치
122,대림3동,도림천로 351,버스정류소,일반 사각 쓰레기통,재활용쓰레기,2022-00,2022-00
123,여의도동,여의대방로 383,버스정류소,일반 사각 쓰레기통,일반쓰레기,2022-00,2022-00
124,여의도동,여의대방로 383,버스정류소,일반 사각 쓰레기통,재활용쓰레기,2022-00,2022-00
125,여의도동,여의동로3길10,버스정류소,일반 사각 쓰레기통,일반쓰레기,2021-00,2023-00
126,여의도동,여의동로3길10,버스정류소,일반 사각 쓰레기통,재활용쓰레기,2021-00,2023-00
127,당산2동,양평로 58,버스정류소,일반 사각 쓰레기통,일반쓰레기,2022-00,2022-00
128,당산2동,양평로 58,버스정류소,일반 사각 쓰레기통,재활용쓰레기,2022-00,2022-00
129,여의도동,63로 45,도로변,일반 사각 쓰레기통,재활용쓰레기,2018-00,2018-00
130,여의도동,63로 45,도로변,일반 사각 쓰레기통,일반쓰레기,2018-00,2024-00
131,당산1동,당산로 122,버스정류소,일반 사각 쓰레기통,일반쓰레기,2023-10,2024-00
132,당산1동,당산로 122,버스정류소,일반 사각 쓰레기통,재활용쓰레기,2023-10,2024-00
133,양평2동,선유로 227,버스정류소,일반 사각 쓰레기통,일반쓰레기,2022-00,2022-00
134,양평2동,선유로 227,버스정류소,일반 사각 쓰레기통,재활용쓰레기,2022-00,2022-00
135,여의도동,의사당대로 141,버스정류소,일반 사각 쓰레기통,일반쓰레기,2021-00,2023-00
136,여의도동,의사당대로 141,버스정류소,일반 사각 쓰레기통,재활용쓰레기,2021-00,2023-00
137,당산1동,당산동2가 24,버스정류소,일반 사각 쓰레기통,일반쓰레기,2022-00,2022-00
138,당산1동,당산동2가 24,버스정류소,일반 사각 쓰레기통,재활용쓰레기,2022-00,2022-00
139,신길1동,신길동41-1,버스정류소,일반 사각 쓰레기통,일반쓰레기,2021-00,2023-00
140,신길1동,신길동41-1,버스정류소,일반 사각 쓰레기통,재활용쓰레기,2021-00,2023-00
141,신길6동,여의대방로 131,버스정류소,일반 사각 쓰레기통,일반쓰레기,2022-00,2023-00
142,신길6동,여의대방로 131,버스정류소,일반 사각 쓰레기통,재활용쓰레기,2022-00,2023-00
143,여의도동,여의도동 2-11,버스정류소,원통형,일반쓰레기,2018-00,2018-00
144,여의도동,여의도동 2-11,버스정류소,일반 사각 쓰레기통,재활용쓰레기,2018-00,2023-00
145,여의도동,여의도동 2-11,버스정류소,원통형,일반쓰레기,2018-00,2018-00
146,여의도동,여의도동 2-11,버스정류소,일반 사각 쓰레기통,재활용쓰레기,2018-00,2023-00
