연번,자치구명,도로(가로)명,세부 위치,설치 장소 유형,수거 쓰레기 종류,형태,설치연도,수거 담당자,데이터기준일
201,강북구,도봉로,도봉로 387 중앙버스정류소 수유3동우체국(09-001),정류소(버스 중앙차로),일반쓰레기,일반 사각,2020년 설치,환경공무관,2025-08-02
202,강북구,도봉로,도봉로 387 중앙버스정류소 수유3동우체국(09-001),정류소(버스 중앙차로),재활용쓰레기,일반 사각,2020년 설치,환경공무관,2025-08-02
203,강북구,도봉로,도봉로 334 중앙버스정류소 수유역(09-004),정류소(버스 중앙차로),일반쓰레기,일반 사각,2020년 설치,환경공무관,2025-08-02
204,강북구,도봉로,도봉로 334 중앙버스정류소 수유역(09-004),정류소(버스 중앙차로),재활용쓰레기,일반 사각,2020년 설치,환경공무관,2025-08-02
205,강북구,도봉로,도봉로 40 중앙버스정류소 미아사거리역(09-012),정류소(버스 중앙차로),일반쓰레기,일반 사각,2022년 교체,환경공무관,2025-08-02
206,강북구,도봉로,도봉로 40 중앙버스정류소 미아사거리역(09-012),정류소(버스 중앙차로),재활용쓰레기,일반 사각,2022년 교체,환경공무관,2025-08-02
207,강북구,도봉로,도봉로 317 도로변,도로변(횡단보도 포함),일반쓰레기,일반 사각,2022년 설치,환경공무관,2025-08-02
208,강북구,도봉로,도봉로 329 수유역 6번 출구 앞,지하철역 입구,일반쓰레기,일반 사각,2022년 설치,환경공무관,2025-08-02
209,강북구,삼양로,삼양로 421 남양당한의원 앞,도로변(횡단보도 포함),일반쓰레기,일반 사각,2023년 설치,환경공무관,2025-08-02
210,강북구,삼양로,삼양로 421 남양당한의원 앞,도로변(횡단보도 포함),재활용쓰레기,일반 사각,2023년 설치,환경공무관,2025-08-02
211,강북구,오현로,오현로 156 번동해모로아파트 버스정류장(09-233),정류소(버스 가로변),일반쓰레기,일반 사각,2023년 설치,환경공무관,2025-08-02
212,강북구,오현로,오현로 156 번동해모로아파트 버스정류장(09-233),정류소(버스 가로변),재활용쓰레기,일반 사각,2023년 설치,환경공무관,2025-08-02
213,강북구,삼각산로,삼각산로 421 가오리역 2번 출구 앞,지하철역 입구,일반쓰레기,일반 사각,2023년 설치,환경공무관,2025-08-02
214,강북구,도봉로,도봉로 399 CGV 앞,도로변(횡단보도 포함),일반쓰레기,일반 사각,2024년 교체,환경공무관,2025-08-02
215,강북구,솔샘로,솔샘로 195 솔샘역 2번출구 앞,지하철역 입구,일반쓰레기,일반 사각,2024년 설치,환경공무관,2025-08-02
216,강북구,솔샘로,솔샘로 195 솔샘역 2번출구 앞,지하철역 입구,재활용쓰레기,일반 사각,2024년 설치,환경공무관,2025-08-02
217,강북구,월계로,월계로 53 창문여고앞 버스정류장(09-994),정류소(버스 가로변),일반쓰레기,일반 사각,2024년 설치,환경공무관,2025-08-02
218,강북구,삼양로,삼양로 651 GS편의점 앞,도로변(횡단보도 포함),일반쓰레기,일반 사각,설치연도 모름,환경공무관,2025-08-02
