연번,자치구명,도로(가로)명,세부 위치,설치 장소 유형,수거 쓰레기 종류,형태,설치연도,수거 담당자,데이터기준일
76,강북구,월계로,월계로 191-40 재활용품선별처리시설장 앞,도로변(횡단보도 포함),재활용쓰레기,일반 사각,2015년 이전,환경공무관,2025-08-02
77,강북구,노해로,노해로 121 청기와 보신탕 앞,도로변(횡단보도 포함),일반쓰레기,일반 사각,2015년 이전,환경공무관,2025-08-02
78,강북구,노해로,노해로 121 청기와 보신탕 앞,도로변(횡단보도 포함),재활용쓰레기,일반 사각,2015년 이전,환경공무관,2025-08-02
79,강북구,솔샘로,솔샘로 327 테마빌딩 앞 삼양동사거리입구 버스정류장(09-174) ,정류소(버스 가로변),일반쓰레기,일반 사각,2015년 이전,환경공무관,2025-08-02
80,강북구,솔샘로,솔샘로 327 테마빌딩 앞 삼양동사거리입구 버스정류장(09-174) ,정류소(버스 가로변),재활용쓰레기,일반 사각,2015년 이전,환경공무관,2025-08-02
81,강북구,한천로,한천로 1056 리움헤어앞 버스정류장(09-804),정류소(버스 가로변),일반쓰레기,일반 사각,2015년 이전,환경공무관,2025-08-02
82,강북구,도봉로,도봉로 48 미아사거리 맥도날도 뒤,정류소(버스 가로변),일반쓰레기,일반 사각,2015년 이전,환경공무관,2025-08-02
83,강북구,도봉로,도봉로 48 미아사거리 맥도날도 뒤,정류소(버스 가로변),재활용쓰레기,일반 사각,2015년 이전,환경공무관,2025-08-02
84,강북구,노해로,노해로 105 삼화패인트 앞,도로변(횡단보도 포함),일반쓰레기,일반 사각,2015년 이전,환경공무관,2025-08-02
85,강북구,노해로,노해로 105 삼화패인트 앞,도로변(횡단보도 포함),재활용쓰레기,일반 사각,2015년 이전,환경공무관,2025-08-02
86,강북구,덕릉로,덕릉로 66 준 스튜디오(LPG 충전소 옆) 앞 신일병원 버스정류장(09-145) ,정류소(버스 가로변),일반쓰레기,일반 사각,2015년 이전,환경공무관,2025-08-02
87,강북구,덕릉로,덕릉로 66 준 스튜디오(LPG 충전소 옆) 앞 신일병원 버스정류장(09-145) ,정류소(버스 가로변),재활용쓰레기,일반 사각,2015년 이전,환경공무관,2025-08-02
88,강북구,월계로,월계로 57 부영문방구 앞,도로변(횡단보도 포함),일반쓰레기,일반 사각,2015년 이전,환경공무관,2025-08-02
89,강북구,삼양로,삼양로 161 버스정류장(09-166),정류소(버스 가로변),일반쓰레기,일반 사각,2015년 이전,환경공무관,2025-08-02
90,강북구,삼양로,삼양로 161 버스정류장(09-166),정류소(버스 가로변),재활용쓰레기,일반 사각,2015년 이전,환경공무관,2025-08-02
91,강북구,삼양로,삼양로 186 CU 강북삼양점 앞,도로변(횡단보도 포함),일반쓰레기,일반 사각,2015년 이전,환경공무관,2025-08-02
92,강북구,삼양로,삼양로 186 CU 강북삼양점 앞,도로변(횡단보도 포함),재활용쓰레기,일반 사각,2015년 이전,환경공무관,2025-08-02
93,강북구,삼양로,삼양로 464 씨채널안경 수유점 앞,도로변(횡단보도 포함),일반쓰레기,일반 사각,2015년 이전,환경공무관,2025-08-02
94,강북구,삼양로,삼양로 647 뼈다귀전문점 앞 버스정류장(09-103),정류소(버스 가로변),일반쓰레기,일반 사각,2015년 이전,환경공무관,2025-08-02
