시도명,시군구명,쓰레기통 종류,설치지점 도로명,설치지점,설치위치 위도,설치위치 경도,관리기관명,관리기관 전화번호,데이터기준일자
충청남도,부여군,원형 스텐레스,충청남도 부여군 부여읍 석탑로,정림사지,36.279871,126.912821,부여군청,041-830-2306,2025-01-15
충청남도,부여군,원형 스텐레스,충청남도 부여군 부여읍 석탑로,정림사지,36.278861,126.912831,부여군청,041-830-2306,2025-01-15
충청남도,부여군,원형 스텐레스,충청남도 부여군 부여읍 사비로,버스터미널 앞,36.280111,126.910461,부여군청,041-830-2306,2025-01-15
충청남도,부여군,원형 스텐레스,충청남도 부여군 부여읍 사비로,우영프라자 앞,36.280221,126.910571,부여군청,041-830-2306,2025-01-15
충청남도,부여군,원형 스텐레스,충청남도 부여군 부여읍 금성로,동남아파트 앞,36.274351,126.918211,부여군청,041-830-2306,2025-01-15
충청남도,부여군,원형 스텐레스,충청남도 부여군 부여읍 성왕로352번길,왕궁아파트 앞,36.281771,126.926501,부여군청,041-830-2306,2025-01-15
