연번,설치장소,지번주소,설치지점,쓰레기통종류,데이터기준일자
57,수침로 102 앞 버스승강장,대전광역시 중구 태평동 257-6,버스승강장,3칸,2025-07-11
58,문화로 115-2 유등지구대 앞 승강장,대전광역시 중구 유천동 271-14,버스승강장,2칸,2025-07-11
59,계백로 1588 다섯가지한의원 앞 승강장,대전광역시 중구 유천동 210-3,버스승강장,2칸,2025-07-11
60,태평로 22-1 빽다방 앞 승강장,대전광역시 중구 유천동 326-14,버스승강장,2칸,2025-07-11
61,용두동 14-5 란짬뽕 건너편,대전광역시 중구 용두동 14-5,횡단보도,2칸,2025-07-11
62,계룡로 865 앞 승강장,대전광역시 중구 용두동 23-6,버스승강장,2칸,2025-07-11
63,선화로 12-1 앞 승강장,대전광역시 중구 용두동 25-21,버스승강장,2칸,2025-07-11
64,동서대로 1330 앞 승강장,대전광역시 중구 용두동 99-28,버스승강장,2칸,2025-07-11
65,동서대로 1329 로뎀노인복지센터 앞 승강장,대전광역시 중구 용두동 100-36,버스승강장,2칸,2025-07-11
66,계룡로 775 코스모스악기빌딩 앞 승강장,대전광역시 중구 용두동 120-9,버스승강장,2칸,2025-07-11
67,계룡로 766 앞 횡단보도,대전광역시 중구 오류동 188-1,횡단보도,2칸,2025-07-11
68,동서대로 1299 앞 승강장,대전광역시 중구 오류동 189-32,버스승강장,2칸,2025-07-11
69,계룡로 800 오룡역 1번출구 앞,대전광역시 중구 오류동 187-4,횡단보도,2칸,2025-07-11
70,계룡로 814 복록수 앞 승강장,대전광역시 중구 오류동 187-11,버스승강장,3칸,2025-07-11
71,계룡로 832 농협하나로마트 앞 승강장,대전광역시 중구 오류동 175-3,버스승강장,3칸,2025-07-11
72,계룡로 846 오류삼성아파트 앞 정문 입구,대전광역시 중구 오류동 175-13,횡단보도,2칸,2025-07-11
73,계백로 1719 센트리아오피스텔 앞 승강장,대전광역시 중구 오류동 154-4,버스승강장,2칸,2025-07-11
74,계백로 1685 앞 승강장,대전광역시 중구 오류동 165-13,버스승강장,2칸,2025-07-11
75,오류로 19 서대전역 주차장 입구 옆 횡단보도,대전광역시 중구 오류동 170-1,횡단보도,3칸,2025-07-11
76,문화로 132-1 앞 승강장,대전광역시 중구 문화동 668-3,버스승강장,2칸,2025-07-11
77,유등천동로 346 서남부터미널 앞 승강장,대전광역시 중구 산성동 759-33,버스승강장,2칸,2025-07-11
78,유등천동로 370 강변빌라 앞 승강장,대전광역시 중구 유천동 339-64,버스승강장,2칸,2025-07-11
79,대둔산로 411 앞 승강장,대전광역시 중구 산성동 97-7,버스승강장,2칸,2025-07-11
80,대둔산로 380 앞 승강장,대전광역시 중구 산성동 277-20,버스승강장,2칸,2025-07-11
81,대둔산로 320 앞 승강장,대전광역시 중구 사정동 387-6,버스승강장,2칸,2025-07-11
82,사정동 633 오월드버드랜드 앞 승강장,대전광역시 중구 사정동 633,버스승강장,2칸,2025-07-11
83,대둔산로 184번길 8 앞 승강장,대전광역시 중구 안영동 702-2,버스승강장,2칸,2025-07-11
84,대둔산로 130 충전소 앞 승강장,대전광역시 중구 안영동 280,버스승강장,2칸,2025-07-11
85,안영동 166-9 검바위마을 입구 앞 승강장,대전광역시 중구 안영동 166-9,버스승강장,2칸,2025-07-11
86,산성로 63 중구보건소 앞 승강장,대전광역시 중구 문화동 785,버스승강장,3칸,2025-07-11
87,문화로 175 앞 승강장,대전광역시 중구 문화동 284-93,버스승강장,2칸,2025-07-11
88,문화로 178 앞 승강장,대전광역시 중구 문화동 284-3,버스승강장,2칸,2025-07-11
89,문화로 214 앞 승강장,대전광역시 중구 문화동 283-4,버스승강장,2칸,2025-07-11
90,문화로 266 충남대학교병원 응급실 앞 승강장,대전광역시 중구 대사동 642,버스승강장,3칸,2025-07-11
91,문화로 269 앞 승강장,대전광역시 중구 문화동 1-33,버스승강장,2칸,2025-07-11
92,서문로 96 센트럴파크2단지 앞 승강장,대전광역시 중구 문화동 1-253,버스승강장,3칸,2025-07-11
93,계룡로 910 KT문화빌딩 앞 승강장,대전광역시 중구 문화동 1-30,버스승강장,2칸,2025-07-11
94,중앙로16번길 5 대전병무청 앞 승강장,대전광역시 중구 문화동 1-6,버스승강장,2칸,2025-07-11
95,계룡로 911 투썸플레이스 앞,대전광역시 중구 문화동 1-231,횡단보도,2칸,2025-07-11
96,계백로 1712 기독교연합봉사회관 앞 승강장,대전광역시 중구 문화동 1-13,버스승강장,3칸,2025-07-11
97,계백로 1686번길 16 한신아파트 101동 앞 승강장,대전광역시 중구 문화동 281-1,버스승강장,2칸,2025-07-11
