연번,도로명주소,유형,자료기준일자
63,서울특별시 강북구 오현로 4 건너편 삼양입구사거리 분수대 앞,일반쓰레기,2025-08-20
64,서울특별시 강북구 도봉로 178 파리바게트 미아역점 앞,재활용쓰레기,2025-08-20
65,서울특별시 강북구 도봉로 178 파리바게트 미아역점 앞,일반쓰레기,2025-08-20
66,서울특별시 강북구 도봉로 314 삼성화재 앞,재활용쓰레기,2025-08-20
67,서울특별시 강북구 도봉로 314 삼성화재 앞,일반쓰레기,2025-08-20
68,서울특별시 강북구 도봉로 352 효성인텔리안 앞,일반쓰레기,2025-08-20
69,서울특별시 강북구 도봉로89길 13 강북구청 앞,일반쓰레기,2025-08-20
70,서울특별시 강북구 한천로 1019 솥뚜껑식당 앞,일반쓰레기,2025-08-20
71,서울특별시 강북구 한천로 1160 거목노인요양원 앞,일반쓰레기,2025-08-20
72,서울특별시 강북구 한천로 1160 거목노인요양원 앞,재활용쓰레기,2025-08-20
73,서울특별시 강북구 한천로 1071 더타이어샵 수유점 앞,일반쓰레기,2025-08-20
74,서울특별시 강북구 한천로 1071 더타이어샵 수유점 앞,재활용쓰레기,2025-08-20
75,서울특별시 강북구 월계로 191-40 재활용품선별처리시설장 앞,일반쓰레기,2025-08-20
76,서울특별시 강북구 월계로 191-40 재활용품선별처리시설장 앞,재활용쓰레기,2025-08-20
77,서울특별시 강북구 노해로 121 청기와 보신탕 앞,일반쓰레기,2025-08-20
78,서울특별시 강북구 노해로 121 청기와 보신탕 앞,재활용쓰레기,2025-08-20
79,서울특별시 강북구 솔샘로 327 테마빌딩 앞 삼양동사거리입구 버스정류장(09-174) ,일반쓰레기,2025-08-20
80,서울특별시 강북구 솔샘로 327 테마빌딩 앞 삼양동사거리입구 버스정류장(09-174) ,재활용쓰레기,2025-08-20
81,서울특별시 강북구 한천로 1056 리움헤어앞 버스정류장(09-804),일반쓰레기,2025-08-20
82,서울특별시 강북구 도봉로 48 미아사거리 맥도날도 뒤,일반쓰레기,2025-08-20
83,서울특별시 강북구 도봉로 48 미아사거리 맥도날도 뒤,재활용쓰레기,2025-08-20
84,서울특별시 강북구 노해로 105 삼화패인트 앞,일반쓰레기,2025-08-20
85,서울특별시 강북구 노해로 105 삼화패인트 앞,재활용쓰레기,2025-08-20
86,서울특별시 강북구 덕릉로 66 준 스튜디오(LPG 충전소 옆) 앞 신일병원 버스정류장(09-145) ,일반쓰레기,2025-08-20
87,서울특별시 강북구 덕릉로 66 준 스튜디오(LPG 충전소 옆) 앞 신일병원 버스정류장(09-145) ,재활용쓰레기,2025-08-20
88,서울특별시 강북구 월계로 57 부영문방구 앞,일반쓰레기,2025-08-20
89,서울특별시 강북구 삼양로 161 버스정류장(09-166),일반쓰레기,2025-08-20
90,서울특별시 강북구 삼양로 161 버스정류장(09-166),재활용쓰레기,2025-08-20
91,서울특별시 강북구 삼양로 186 CU 강북삼양점 앞,일반쓰레기,2025-08-20
92,서울특별시 강북구 삼양로 186 CU 강북삼양점 앞,재활용쓰레기,2025-08-20
93,서울특별시 강북구 삼양로 464 씨채널안경 수유점 앞,일반쓰레기,2025-08-20
94,서울특별시 강북구 삼양로 647 뼈다귀전문점 앞 버스정류장(09-103),일반쓰레기,2025-08-20
95,서울특별시 강북구 노해로 90 참숯바베큐 앞 버스정류장(09-895),일반쓰레기,2025-08-20
96,서울특별시 강북구 노해로 90 참숯바베큐 앞 버스정류장(09-895),재활용쓰레기,2025-08-20
97,서울특별시 강북구 삼양로 543 버스정류장(09-107),일반쓰레기,2025-08-20
98,서울특별시 강북구 삼양로 543 버스정류장(09-107),재활용쓰레기,2025-08-20
99,서울특별시 강북구 노해로 36 수유3동주민센터 횡단보도 앞,일반쓰레기,2025-08-20
100,서울특별시 강북구 노해로 36 수유3동주민센터 횡단보도 앞,재활용쓰레기,2025-08-20
101,서울특별시 강북구 삼양로 420 배용표 내과 앞,일반쓰레기,2025-08-20
102,서울특별시 강북구 삼양로 420 배용표 내과 앞,재활용쓰레기,2025-08-20
103,서울특별시 강북구 수유동 553-3(인수봉로)극동아파트 버스정류장(09-117),일반쓰레기,2025-08-20
104,서울특별시 강북구 인수봉로 160 버스정류장(09-814),일반쓰레기,2025-08-20
105,서울특별시 강북구 도봉로 332 수유역3번출구 마을버스정류장(09-595),일반쓰레기,2025-08-20
106,서울특별시 강북구 도봉로 332 수유역3번출구 마을버스정류장(09-595),재활용쓰레기,2025-08-20
107,서울특별시 강북구 도봉로 343 중앙버스정류소 수유(강북구청)역(09-013),일반쓰레기,2025-08-20
108,서울특별시 강북구 도봉로 348 교보빌딩 앞,일반쓰레기,2025-08-20
109,서울특별시 강북구 도봉로 348 교보빌딩 앞,재활용쓰레기,2025-08-20
110,서울특별시 강북구 한천로 1098 광산사거리 버스정류장(09-129),일반쓰레기,2025-08-20
111,서울특별시 강북구 한천로 1098 광산사거리 버스정류장(09-129),재활용쓰레기,2025-08-20
112,서울특별시 강북구 한천로 1152 강북청년창업마루 버스정류장(09-124),일반쓰레기,2025-08-20
113,서울특별시 강북구 한천로 1152 강북청년창업마루 버스정류장(09-124),재활용쓰레기,2025-08-20
114,서울특별시 강북구 삼각산로 165 버스정류장(09-811),일반쓰레기,2025-08-20
115,서울특별시 강북구 삼각산로 165 버스정류장(09-811),재활용쓰레기,2025-08-20
116,서울특별시 강북구 인수봉로 276 횡단보도,일반쓰레기,2025-08-20
117,서울특별시 강북구 인수봉로 207 우이초교 후문 버스정류장(09-130),일반쓰레기,2025-08-20
118,서울특별시 강북구 인수봉로 309 버스정류장(09-112),일반쓰레기,2025-08-20
119,서울특별시 강북구 인수봉로 310 윤극영가옥 버스정류장(09-113),일반쓰레기,2025-08-20
120,서울특별시 강북구 도봉로 343 중앙버스정류소 수유(강북구청)역(09-013),재활용쓰레기,2025-08-20
