연번,위치,설치대수,종류
1,좌동순환로 441 맞은편(버스정류장),2,"일반쓰레기, 재활용쓰레기"
2,중동 991-6(문탠로드 입구),2,"일반쓰레기, 재활용쓰레기"
3,동백섬 공원 내 공영주차장,2,"일반쓰레기, 재활용쓰레기"
4,구남로 9 건너 보행자도로,2,"일반쓰레기, 재활용쓰레기"
5,구남로 11 건너 보행자도로,2,"일반쓰레기, 재활용쓰레기"
6,구남로 22 건너 보행자도로,2,"일반쓰레기, 재활용쓰레기"
7,구남로 27 건너 보행자도로,2,"일반쓰레기, 재활용쓰레기"
8,구남로 45 건너 보행자도로,2,"일반쓰레기, 재활용쓰레기"
