설치위치,세부위치,종류,설치연도,데이터기준일
양재대로 1109,방이역3번출구대림아파트(24-223),① 일반쓰레기,② 2017년 설치,2024-07-31
양재대로 1109,방이역3번출구대림아파트(24-223),② 재활용쓰레기,② 2017년 설치,2024-07-31
양재대로,방이역 1번출구 앞,① 일반쓰레기,① 2016년 이전 설치,2024-07-31
양재대로 1218,올림픽선수촌아파트(24-247),① 일반쓰레기,① 2016년 이전 설치,2024-07-31
강동대로,보성중학교 후문 옆,① 일반쓰레기,① 2016년 이전 설치,2024-07-31
위례성대로,송파레미니스아파트(24-912),① 일반쓰레기,⑤ 2020년 설치,2024-07-31
위례성대로,오륜초.올림픽선수촌아파트(24-911),① 일반쓰레기,⑤ 2020년 설치,2024-07-31
성내천로 211,남천초.마천동우아파트앞(24-296),① 일반쓰레기,① 2016년 이전 설치,2024-07-31
마천로,남한산성 만남의장소 옆,① 일반쓰레기,② 2017년 설치,2024-07-31
마천로,남한산성 만남의장소 옆,② 재활용쓰레기,② 2017년 설치,2024-07-31
거마로 63,마천동사거리(24-299),① 일반쓰레기,④ 2019년 설치,2024-07-31
양산로 15,송파구 체육문화회관 앞,① 일반쓰레기,① 2016년 이전 설치,2024-07-31
오금로 407,오금동상아파트(24-251),① 일반쓰레기,④ 2019년 설치,2024-07-31
동남로 305,오금동사거리(24-268),① 일반쓰레기,③ 2018년 설치,2024-07-31
오금로 241,맞은편 삼익미성아파트(24-206),① 일반쓰레기,⑤ 2020년 설치,2024-07-31
오금로 307,오금동현대아파트(24-249),① 일반쓰레기,④ 2019년 설치,2024-07-31
오금로 432,삼환아파트(24-349),① 일반쓰레기,④ 2019년 설치,2024-07-31
중대로 221,송파경찰서 앞,① 일반쓰레기,④ 2019년 설치,2024-07-31
송이로 123,경찰병원 KT가락지사(24-378),① 일반쓰레기,④ 2019년 설치,2024-07-31
중대로 97,가락시장역 4번출구 앞,① 일반쓰레기,① 2016년 이전 설치,2024-07-31
충민로 115,문현고등학교(24-467),① 일반쓰레기,④ 2019년 설치,2024-07-31
중대로 24,문정2동주민센터 청소년수련관(24-333),① 일반쓰레기,③ 2018년 설치,2024-07-31
법원로 114,맞은편 도로변,① 일반쓰레기,③ 2018년 설치,2024-07-31
정의로,문정동 375 맞은편,① 일반쓰레기,③ 2018년 설치,2024-07-31
송파대로 111,장지역 가든파이브(24-016),① 일반쓰레기,① 2016년 이전 설치,2024-07-31
송파대로,장지역 가든파이브(24-015),① 일반쓰레기,② 2017년 설치,2024-07-31
송파대로,장지역 1번출구 앞,① 일반쓰레기,① 2016년 이전 설치,2024-07-31
헌릉로,복정역 3번출구 앞,① 일반쓰레기,① 2016년 이전 설치,2024-07-31
문정로,삼성래미안아파트 후문(24-332),① 일반쓰레기,① 2016년 이전 설치,2024-07-31
동남로 123,문정로데오거리,① 일반쓰레기,① 2016년 이전 설치,2024-07-31
동남로 136,문정로데오거리,① 일반쓰레기,① 2016년 이전 설치,2024-07-31
동남로 178,개롱근린공원 사거리,① 일반쓰레기,① 2016년 이전 설치,2024-07-31
위례광장로 210,위례동주민센터 위례스타힐스(24-416),① 일반쓰레기,⑤ 2020년 설치,2024-07-31
위례광장로 210,위례동주민센터 위례스타힐스(24-416),② 재활용쓰레기,⑤ 2020년 설치,2024-07-31
송파대로 404,석촌역(24005),① 일반쓰레기,⑤ 2020년 설치,2024-07-31
송파대로 404,석촌역(24005),② 재활용쓰레기,⑤ 2020년 설치,2024-07-31
동남로 263,송파도서관(24266),① 일반쓰레기,⑤ 2020년 설치,2024-07-31
동남로 263,송파도서관(24266),② 재활용쓰레기,⑤ 2020년 설치,2024-07-31
위례순환로,위례광장로 230 상가 3동 앞,① 일반쓰레기,⑤ 2020년 설치,2024-07-31
위례순환로,위례광장로 230 상가 3동 앞,② 재활용쓰레기,⑤ 2020년 설치,2024-07-31
위례순환로 387,장지동 892-2 대신증권02블럭 옆,① 일반쓰레기,⑤ 2020년 설치,2024-07-31
위례순환로 387,장지동 892-2 대신증권02블럭 옆,② 재활용쓰레기,⑤ 2020년 설치,2024-07-31
새말로 62,송파푸르지오시티 한화오벨리스크(24496),① 일반쓰레기,⑤ 2020년 설치,2024-07-31
새말로 62,송파푸르지오시티 한화오벨리스크(24496),② 재활용쓰레기,⑤ 2020년 설치,2024-07-31
위례서로,위례송파한라비발디 송파푸르지오(24-441),① 일반쓰레기,⑤ 2020년 설치,2024-07-31
위례서로,위례송파한라비발디 송파푸르지오(24-441),② 재활용쓰레기,⑤ 2020년 설치,2024-07-31
위례광장로,위례아이파크아파트(24-492),① 일반쓰레기,⑤ 2020년 설치,2024-07-31
위례광장로,위례아이파크아파트(24-492),② 재활용쓰레기,⑤ 2020년 설치,2024-07-31
위례순환로,위례송파한라비발디 송례초앞(24-493),① 일반쓰레기,⑤ 2020년 설치,2024-07-31
위례순환로,위례송파한라비발디 송례초앞(24-493),② 재활용쓰레기,⑤ 2020년 설치,2024-07-31
위례대로,스타필드시티 위례스타힐스(28-533),① 일반쓰레기,⑤ 2020년 설치,2024-07-31
위례대로,스타필드시티 위례스타힐스(28-533),② 재활용쓰레기,⑤ 2020년 설치,2024-07-31
위례중앙로,위례중앙광장(장지동 896-1),② 재활용쓰레기,⑤ 2020년 설치,2024-07-31
위례중앙로,위례중앙광장(장지동 896-1),② 재활용쓰레기,⑤ 2020년 설치,2024-07-31
위례중앙로,위례중앙광장(장지동 896-1),② 재활용쓰레기,⑤ 2020년 설치,2024-07-31
위례중앙로,위례중앙광장(장지동 896-1),② 재활용쓰레기,⑤ 2020년 설치,2024-07-31
위례중앙로,위례중앙광장(장지동 896-1),① 일반쓰레기,⑤ 2020년 설치,2024-07-31
송파대로,가락시장 가락시장역(24-010),① 일반쓰레기,④ 2019년 설치,2024-07-31
오금로 168,송파나루역(24-199),① 일반쓰레기,③ 2018년 설치,2024-07-31
삼학사로 1길 22,삼전사회복지관(24176),① 일반쓰레기,⑥ 2021년 설치,2024-07-31
백제고분로 253,송파구민회관구의회(24168),① 일반쓰레기,⑥ 2021년 설치,2024-07-31
석촌호수로,잠실119안전센터(24153),① 일반쓰레기,⑥ 2021년 설치,2024-07-31
백제고분로 377,석촌역 2번출구,① 일반쓰레기,⑥ 2021년 설치,2024-07-31
백제고분로,송파나루역 2번출구,① 일반쓰레기,⑥ 2021년 설치,2024-07-31
양재대로,송파동삼익아파트(24205),① 일반쓰레기,⑥ 2021년 설치,2024-07-31
위례성대로 180,오금대림아파트(24914),① 일반쓰레기,⑥ 2021년 설치,2024-07-31
충민로,가든파이브 웍스동(24473),① 일반쓰레기,⑥ 2021년 설치,2024-07-31
충민로 6길,아이코리아(24448),① 일반쓰레기,⑥ 2021년 설치,2024-07-31
올림픽로 145,도로변,① 일반쓰레기,⑦ 2023년 설치,2024-07-31
잠실로 74,교통센터 앞,① 일반쓰레기,⑦ 2023년 설치,2024-07-31
올림픽로 340,택시승강장,① 일반쓰레기,⑦ 2023년 설치,2024-07-31
석촌호수로 298,방이삼거리 횡단보도,① 일반쓰레기,⑦ 2023년 설치,2024-07-31
오금로,오금역 2번출구 버스정류장,① 일반쓰레기,⑦ 2023년 설치,2024-07-31
동남로 342,오륜사거리 버스정류장(24498),① 일반쓰레기,⑦ 2023년 설치,2024-07-31
동남로 112-2, 올포유 매장 앞,① 일반쓰레기,⑦ 2023년 설치,2024-07-31
