연번,설치위치(도로명주소),세부위치,설치장소유형,쓰레기통형태,수거쓰레기종류,데이터기준일자
48,서울특별시 서초구 신반포로200,고속터미널 역 8-1번 출구 뒤,지하철역 입구,기타(텀블러형 등),재활용쓰레기,2025-05-28
49,서울특별시 서초구 반포대로275,버스정류장 옆(22990),정류소(버스 가로변),기타(텀블러형 등),재활용쓰레기,2025-05-28
50,서울특별시 서초구 신반포로105,신반포역 3번출구 앞,지하철역 입구,기타(텀블러형 등),재활용쓰레기,2025-05-28
51,서울특별시 서초구 잠원로69,킴스클럽 앞,상가지역,기타(텀블러형 등),재활용쓰레기,2025-05-28
52,서울특별시 서초구 잠원동160-2(잠원로),버스정류장 앞(22208),정류소(버스 가로변),기타(텀블러형 등),재활용쓰레기,2025-05-28
53,서울특별시 서초구 잠원로117,버스정류장 앞(22205),정류소(버스 가로변),기타(텀블러형 등),재활용쓰레기,2025-05-28
54,서울특별시 서초구 남부순환로2183,버스정류장 앞(22417),정류소(버스 가로변),기타(텀블러형 등),재활용쓰레기,2025-05-28
55,서울특별시 서초구 남부순환로2406,예술의 전당 앞(22592),정류소(버스 가로변),기타(텀블러형 등),재활용쓰레기,2025-05-28
56,서울특별시 서초구 남부순환로2406,예술의 전당 앞 마임건너편(22025),정류소(버스 가로변),기타(텀블러형 등),재활용쓰레기,2025-05-28
57,서울특별시 서초구 사평대로55,버스정류장 앞(22380),정류소(버스 가로변),기타(텀블러형 등),재활용쓰레기,2025-05-28
58,서울특별시 서초구 사평대로98,골프존마켓 앞,상가지역,기타(텀블러형 등),재활용쓰레기,2025-05-28
59,서울특별시 서초구 사평대로130,버스정류장 앞(22543),정류소(버스 가로변),기타(텀블러형 등),재활용쓰레기,2025-05-28
60,서울특별시 서초구 사평대로142,버스정류장 앞(22544),정류소(버스 가로변),기타(텀블러형 등),재활용쓰레기,2025-05-28
61,서울특별시 서초구 사평대로66,버스정류장 앞(22433),정류소(버스 가로변),기타(텀블러형 등),재활용쓰레기,2025-05-28
62,서울특별시 서초구 반포동20-49(사평대로),버스정류장 앞(22195),정류소(버스 가로변),기타(텀블러형 등),재활용쓰레기,2025-05-28
63,서울특별시 서초구 사평대로285,버스정류장 앞(22196),정류소(버스 가로변),기타(텀블러형 등),재활용쓰레기,2025-05-28
64,서울특별시 서초구 동작대로 130,이수역 1번 출구 뒤,지하철역 입구,기타(텀블러형 등),재활용쓰레기,2025-05-28
65,서울특별시 서초구 동작대로 108,이수역 4번 출구 앞,정류소(버스 가로변),기타(텀블러형 등),재활용쓰레기,2025-05-28
