연번,자치구명,도로(가로)명,세부 위치,설치 장소 유형,수거 쓰레기 종류,형태,설치연도,데이터기준일자
189,동작구청,시흥대로,606,도로변,일반쓰레기/재활용,특수형태(광고판 일체형)쓰레기통,2023년 신규,2024-07-29
190,동작구청,노량진로,146(노량진역 3번 출구),지하철역 입구,일반쓰레기/재활용,특수형태(광고판 일체형)쓰레기통,2023년 신규,2024-07-29
191,동작구청,상도로,364-1(숭실대역 2번 출구 버스정류장),정류소,일반쓰레기/재활용,특수형태(광고판 일체형)쓰레기통,2023년 신규,2024-07-29
192,동작구청,상도로,369(숭실대역 3번 출구 버스정류장),정류소,일반쓰레기/재활용,특수형태(광고판 일체형)쓰레기통,2023년 신규,2024-07-29
193,동작구청,장승배기로,161(동작구청 정문 앞 버스정류장),정류소,일반쓰레기/재활용,특수형태(광고판 일체형)쓰레기통,2023년 신규,2024-07-29
194,동작구청,상도동,902(장승배기역 5번 출구),지하철역 입구,일반쓰레기/재활용,특수형태(광고판 일체형)쓰레기통,2023년 신규,2024-07-29
195,동작구청,남부순환로,2057,도로변,일반쓰레기/재활용,특수형태(광고판 일체형)쓰레기통,2024년 신규,2024-07-29
196,동작구청,사당로,254,도로변,일반쓰레기/재활용,특수형태(광고판 일체형)쓰레기통,2024년 신규,2024-07-29
197,동작구청,사당로,13길 31(남성역 3번 출구),지하철역 입구,일반쓰레기/재활용,특수형태(광고판 일체형)쓰레기통,2024년 신규,2024-07-29
198,동작구청,양녕로,269-1,도로변,일반쓰레기/재활용,특수형태(광고판 일체형)쓰레기통,2024년 신규,2024-07-29
199,동작구청,양녕로,268,도로변,일반쓰레기/재활용,특수형태(광고판 일체형)쓰레기통,2024년 신규,2024-07-29
200,동작구청,상도로,181,지하철역 입구,일반쓰레기/재활용,특수형태(광고판 일체형)쓰레기통,2024년 신규,2024-07-29
201,동작구청,장승배기로,73(상도2동 치안센터 옆),지하철역 입구,일반쓰레기/재활용,특수형태(광고판 일체형)쓰레기통,2024년 신규,2024-07-29
202,동작구청,만양로,6,도로변,일반쓰레기/재활용,특수형태(광고판 일체형)쓰레기통,2024년 신규,2024-07-29
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
